"site","div","treatment","FvsCI","comm","OY.deltaBA","OY.deltaV"
"B",8,"F","F","AiAl|CeBi|ElGl|ElJa|IdPo|MaGr|MeFl|PhBo",0.176811826974771,1.80471490312555
"B",8,"F","F","AlFo|BeLu|CaFa|ElCh|MaLe|MaTh|MaYu|QuPh",1.61387551717359,8.98254682925276
"B",2,"I","CI","BeLu|CaFa",3.04101903596567,33.4367609558277
"B",2,"I","CI","CeBi|ElGl",3.20806536888738,29.2410390509005
"B",2,"I","CI","ElJa|PhBo",1.90555207067574,13.3855175684861
"B",2,"I","CI","MaYu|QuPh",1.79528176406939,3.8406889925948
"B",2,"I","CI","IdPo|MaGr",0.634196515287279,1.8264420096751
"B",2,"I","CI","ElCh|MaTh",1.33977528106754,2.84476965728236
"B",2,"I","CI","AlFo|MaLe",1.50582191047492,8.24561438691114
"B",4,"I","CI","AlFo|ElCh|MaLe|MaTh",0.02382834048684,-1.76365139092613
"B",4,"I","CI","CeBi|ElGl|ElJa|PhBo",1.08327215248923,9.54142501716117
"B",4,"I","CI","AiAl|IdPo|MaGr|MeFl",0.199904055851966,0.875116390746082
"B",8,"I","CI","AiAl|CeBi|ElGl|ElJa|IdPo|MaGr|MeFl|PhBo",4.78776531085191,29.3162700051849
"B",8,"I","CI","AlFo|BeLu|CaFa|ElCh|MaLe|MaTh|MaYu|QuPh",-0.123781149766332,0.585999944776932
